size  avg  ci_low  ci_hig
1  0.9464339712  0.9464339712  0.9464339712
2  0.9457946348  0.945173381924754  0.946415887590128
3  0.9451639380  0.944581269247966  0.945746606686199
4  0.9452848935  0.945037178268103  0.945532608763734
6  0.9442913301  0.943843632815365  0.944739027342741
8  0.9437124714  0.943312647907469  0.944112294854638
16  0.9423560413  0.941881904258125  0.942830178337235
32  0.9396691002  0.939170640380758  0.940167559973469
48  0.9371549527  0.93666315284361  0.937646752551872
