out1 out2 out3 out4 out5 out6 out7 out8
1.0 0 0 0 0 0 0 0
1.0 0 0 0 0 0 0 0
0.714754098 0.285245902 0 0 0 0 0 0
0.508607199 0.331768388 0.159624413 0 0 0 0 0
0.426885246 0.235409836 0.218360656 0.119344262 0 0 0 0
0.291989664 0.174849268 0.12704565 0.117571059 0.081826012 0.086132644 0.084409991 0.036175711
