size  avg  ci_low  ci_hig
1  0.946433971229859  0.946433971229859  0.946433971229859
2  0.946313015681023  0.94603425565437  0.946591775707676
3  0.946001987126874  0.945732910148134  0.946271064105613
4  0.945570003023889  0.945459610333707  0.945680395714071
6  0.944610998315262  0.944333527061484  0.94488846956904
8  0.944334528489352  0.944196440255762  0.944472616722941
16  0.942744826990367  0.942587336655889  0.942902317324844
32  0.940541708065143  0.940275847261011  0.940807568869275
48  0.93890880815586  0.938784950532228  0.939032665779492
